keyword,category,priority,position,position_label,url,in_featured,total_results,error,checked_at
picture frames,core - brand,high,23,#23,https://americanflat.com/collections/picture-frames?srsltid=AfmBOoqed59edsTCFLkJS9ZP8zjJrW7ULtL1_JZ9Eb9FA0KD0qQvyDV5,False,212,,2026-08-05T15:13:32.298566
picture frame,core - brand,high,,Not ranked,,False,214,,2026-08-05T15:13:46.141732
photo frames,core - brand,high,35,#35,https://americanflat.com/collections/picture-frames?srsltid=AfmBOoq8VxSF4qYmIdhxevKi_7rb62BstEQ0MMZCTp9X1TYfEz_jAHEO,False,213,,2026-08-05T15:14:04.776381
photo frame,core - brand,high,15,#15 Page 2,https://americanflat.com/collections/picture-frames?srsltid=AfmBOooCKLCElKR74yWt05SFJ662JpRMY1Hczb9KHlJVR_DNsHgKB1Ob,False,213,,2026-08-05T15:13:36.849795
wall frames,core - brand,high,3,#3 🏆 Top 3,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorg93DdgwMwjhPb_-uwL5MzFl_zy6y8fKh3GN1p6BrQpBnO9bw9,False,212,,2026-08-05T15:13:19.254222
americanflat frames,core - brand,high,1,#1 🏆 Top 3,https://americanflat.com/collections/picture-frames?srsltid=AfmBOoqIWiEPcxY28HRTP85X80jujsuVQUXvuksKbOfa-PkuYv99JyRr,False,120,,2026-08-05T15:13:37.067628
americanflat picture frames,core - brand,high,1,#1 🏆 Top 3,https://americanflat.com/collections/picture-frames?srsltid=AfmBOoo2b2s30p1BRJkdVLtZ-6tTf3kLXzS8Brk0GWM8NzDITKFfZLq1,False,191,,2026-08-05T15:13:42.331126
buy picture frames online,core - brand,high,,Not ranked,,False,212,,2026-08-05T15:13:40.734027
affordable picture frames,core - brand,high,,Not ranked,,False,200,,2026-08-05T15:13:27.211517
cheap picture frames,core - brand,high,,Not ranked,,False,230,,2026-08-05T15:13:52.534021
picture frames set,core - brand,high,20,#20 Page 2,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorzxCvlNEz6ArpLYkkSfMKJmGjXb6Ntvhc2aL6wqQcoLjniAnaL,False,237,,2026-08-05T15:13:33.900902
gallery wall frames,core - brand,high,3,#3 🏆 Top 3,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOoq8BxWK7sGdPGVK7fljjfYoiMhk9_1Xg74_3nEEt0pDy3a5okjT,False,206,,2026-08-05T15:13:30.805211
gallery wall frame set,core - brand,high,4,#4 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorNdjal8zx5RleSv83p6qf7KU-tK90qBamNyVp8h7HF_2gy5EbO,False,204,,2026-08-05T15:13:35.238969
bulk picture frames,core - brand,high,,Not ranked,,False,182,,2026-08-05T15:13:34.162718
picture frames bulk,core - brand,high,,Not ranked,,False,213,,2026-08-05T15:13:28.478541
picture frames for wall,core - brand,high,4,#4 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOoo38zmYpCb_PowRKISFy5LifYlWhiIlxxuD8FVrAKvsB-LicVgG,False,213,,2026-08-05T15:13:43.933341
