keyword,category,priority,position,position_label,url,in_featured,total_results,error,checked_at
picture frames,core - brand,high,29,#29,https://americanflat.com/collections/picture-frames?srsltid=AfmBOopmeVblRhobjTs5qAOvxmlwtJh4_ge5d2JFuPda6rk9i4rxH030,False,216,,2026-08-12T14:20:37.870547
picture frame,core - brand,high,8,#8 ✅ Page 1,https://americanflat.com/collections/picture-frames?srsltid=AfmBOorzacEVjHxrA1tE_5_nFl1GvIR0TFfNJ1KGFNaegkqKnylVSRtU,False,210,,2026-08-12T14:20:42.274563
photo frames,core - brand,high,34,#34,https://americanflat.com/collections/picture-frames?srsltid=AfmBOoq47gyiFtWykA3c2kOP5Eou_6KuRU-EfetPOMAoCyWCa-hrOD7e,False,207,,2026-08-12T14:20:46.509987
photo frame,core - brand,high,22,#22,https://americanflat.com/collections/picture-frames?srsltid=AfmBOoopVAQetTYgKS5yX-USvFw0tQEFrWpC3gzGEMhnhJVzaiABeeph,False,206,,2026-08-12T14:20:48.828893
wall frames,core - brand,high,4,#4 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorisE6MIvCEk6KLQmVjvaLsfgULPP8jC3eO1RwYRZeN7zlg9T6v,False,206,,2026-08-12T14:20:43.268510
americanflat frames,core - brand,high,1,#1 🏆 Top 3,https://americanflat.com/collections/picture-frame?srsltid=AfmBOoroLlsFRA1kr74b3dfX3YAtUs8okZOGS6XINO9G1fNusmOu9x0D,False,158,,2026-08-12T14:20:51.702383
americanflat picture frames,core - brand,high,1,#1 🏆 Top 3,https://americanflat.com/collections/picture-frame?srsltid=AfmBOookPqs2Lsw7qKcyG31tLimVubpORTcxW0Ekfv0vDdwn0rAQMWLT,False,191,,2026-08-12T14:20:37.808788
buy picture frames online,core - brand,high,70,#70,https://americanflat.com/collections/picture-frames?srsltid=AfmBOophR7olPzmEKKXKE1rygC3zrtjIL2QF1iBixSTLyk4pxoifMmGf,False,193,,2026-08-12T14:20:42.825008
affordable picture frames,core - brand,high,,Not ranked,,False,198,,2026-08-12T14:20:44.266870
cheap picture frames,core - brand,high,,Not ranked,,False,209,,2026-08-12T14:20:44.190506
picture frames set,core - brand,high,,Not ranked,,False,247000000,,2026-08-12T14:20:35.282119
gallery wall frames,core - brand,high,4,#4 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorNuFerS5IffIb8coWLKEvy9_wWC8KDRPBv-rpg4EAV-gpHFVd7,False,193,,2026-08-12T14:20:38.866263
gallery wall frame set,core - brand,high,5,#5 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOopgMFS0bn1QiDYAt8zCrZJJbTy5sSxh4Sf08aR-bd-mZh-nwP2X,False,207,,2026-08-12T14:20:40.918333
bulk picture frames,core - brand,high,,Not ranked,,False,172,,2026-08-12T14:20:31.764657
picture frames bulk,core - brand,high,,Not ranked,,False,223,,2026-08-12T14:20:43.060713
picture frames for wall,core - brand,high,,Not ranked,,False,112000000,,2026-08-12T14:20:35.416710
frames for wall decor,core - brand,high,53,#53,https://americanflat.com/collections/picture-frames?srsltid=AfmBOornTbeOvRK5tmt3npMYXIbTSRX40NhSvAZCVArj8bBb8VpR8TFT,False,208,,2026-08-12T14:20:53.998730
wall frame set,core - brand,high,5,#5 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOor5R_Z6cysBQDDUYNOTWg6VBNXYG7OCKz3O_WR7XYY1ba5LrtcI,False,207,,2026-08-12T14:20:34.492671
collage picture frames,core - brand,high,,Not ranked,,False,217,,2026-08-12T14:20:39.776897
multi photo frame,core - brand,high,,Not ranked,,False,200,,2026-08-12T14:20:40.158144
4x6 picture frame,size - standard,high,3,#3 🏆 Top 3,https://americanflat.com/collections/4-x-6-picture-frames?srsltid=AfmBOorDPyL0e17NhDjPzg6t-EH68A8FsjsCR44PZpytYOSt5qaGu9p3,False,232,,2026-08-12T14:20:41.233394
5x7 picture frame,size - standard,high,36,#36,https://americanflat.com/collections/5-x-7-picture-frames?srsltid=AfmBOooT-j9LF9gN7XBdajMwXw0SjxaeWYsJ4M8GMp6frd1AwNFqXNq6,False,212,,2026-08-12T14:20:44.771655
8x10 picture frame,size - standard,high,,Not ranked,,False,215,,2026-08-12T14:20:44.754454
11x14 picture frame,size - standard,high,4,#4 ✅ Page 1,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOorYcGuTwmfLxxZgFAI9u8v0Y8V8acLftpXklt4ueCG3BShGsbat,False,204,,2026-08-12T14:20:47.646926
16x20 picture frame,size - standard,high,,Not ranked,,False,242,,2026-08-12T14:20:55.711878
18x24 picture frame,size - standard,high,3,#3 🏆 Top 3,https://americanflat.com/collections/18x24-frames?srsltid=AfmBOooCvdT2pP_vIcfskE06oBo8lM3Y0rrquJ7qGbM98nHVDa2egqqF,False,239,,2026-08-12T14:20:47.604949
24x36 picture frame,size - standard,high,,Not ranked,,False,249,,2026-08-12T14:20:53.439979
4x6 photo frame,size - standard,high,32,#32,https://americanflat.com/collections/4-x-6-picture-frames?srsltid=AfmBOooAZFAWpU_G5w1MswcgfhhCdW3idLhgJV-uwia3ndCA9TDV0puL,False,231,,2026-08-12T14:20:48.225204
5x7 photo frame,size - standard,high,20,#20 Page 2,https://americanflat.com/collections/5-x-7-picture-frames?srsltid=AfmBOorO8ty63Kzmo1LCDnyzObDKmEhbML5QoHC-U1FKyHNPGt7gBTm7,False,221,,2026-08-12T14:20:51.000125
8x10 photo frame,size - standard,high,,Not ranked,,False,211,,2026-08-12T14:20:54.902652
11x14 photo frame,size - standard,high,9,#9 ✅ Page 1,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOoq-MEL4S7gl8fpJi36pE20H42gzY3CQnCtA06MxBkt32pKquj0z,False,219,,2026-08-12T14:20:53.786884
16x20 photo frame,size - standard,high,24,#24,https://americanflat.com/collections/16x20-picture-frames?srsltid=AfmBOoqHdE8tEJ8CFSgHFH515BgG4PiuJTMrvH_z17D0O3pbgS7pR4zU,False,242,,2026-08-12T14:20:53.677776
18x24 photo frame,size - standard,high,3,#3 🏆 Top 3,https://americanflat.com/collections/18x24-frames?srsltid=AfmBOoo0Bl5Dp1QewWebuSRwC4JRXBxs3ty1-8O1XoX0otpofN5IzOA7,False,248,,2026-08-12T14:20:54.982756
24x36 photo frame,size - standard,high,,Not ranked,,False,253,,2026-08-12T14:21:01.099635
2x2 picture frame,size - small,medium,,Not ranked,,False,250,,2026-08-10T14:32:19.597046
2x3 picture frame,size - small,medium,,Not ranked,,False,3600000,,2026-08-10T14:32:16.455129
3x3 picture frame,size - small,medium,,Not ranked,,False,250,,2026-08-10T14:32:19.385294
3x5 picture frame,size - small,medium,,Not ranked,,False,245,,2026-08-10T14:32:23.804290
4x4 picture frame,size - small,medium,,Not ranked,,False,53000000,,2026-08-10T14:32:18.541659
4x5 picture frame,size - small,medium,,Not ranked,,False,246,,2026-08-10T14:32:14.340712
4x12 picture frame,size - small,medium,,Not ranked,,False,241,,2026-08-10T14:32:17.585659
5x5 picture frame,size - small,medium,,Not ranked,,False,227,,2026-08-10T14:32:20.200387
5x15 picture frame,size - small,medium,,Not ranked,,False,232,,2026-08-10T14:32:20.981930
6x6 picture frame,size - small,medium,8,#8 ✅ Page 1,https://americanflat.com/collections/6x6-frames?srsltid=AfmBOorlxB2B5UtWVtyzJKa3XhQHqmETtcIDrGH1EiCevNrCS541Rir4,False,225,,2026-08-10T14:32:15.738075
6x8 picture frame,size - small,medium,24,#24,https://americanflat.com/collections/6x8-frames?srsltid=AfmBOor-ERmDodHseMIU_rJpVuuf_d0JrhveE-8JmPOu_VHxDPew03IO,False,245,,2026-08-10T14:32:17.793303
6x9 picture frame,size - small,medium,,Not ranked,,False,251,,2026-08-10T14:32:15.437044
3x4 picture frame,size - small,medium,,Not ranked,,False,238,,2026-08-10T14:32:19.318458
wallet size picture frame,size - small,medium,,Not ranked,,False,246,,2026-08-10T14:32:14.714766
1x2 picture frame,size - small,low,23,#23,https://americanflat.com/collections/picture-frames?srsltid=AfmBOooyufh3nLM21TYhQB3F5nO3eTMWz5iiu0SHxr_ZGkYsCRjFFrC1,False,232,,2026-08-10T14:35:25.405985
2x6 picture frame,size - small,low,,Not ranked,,False,241,,2026-08-10T14:35:29.127524
3x7 picture frame,size - small,low,,Not ranked,,False,184,,2026-08-10T14:35:18.487500
4x10 picture frame,size - small,low,,Not ranked,,False,227,,2026-08-10T14:35:18.193418
5x10 picture frame,size - small,low,45,#45,https://americanflat.com/collections/10x10-frames?srsltid=AfmBOoo797qvOTxVU7glN2RRhyWF52OPG5NHcIE87ncEUOQRfms8GOv5,False,230,,2026-08-10T14:35:33.004188
5x20 picture frame,size - small,low,21,#21,https://americanflat.com/products/americanflat-20x20-picture-frame-with-mat-set-of-3-black-slim-molding?srsltid=AfmBOop3s5IT6dfzbW-Q94FNm_XGYPxOojZ4tgGAC9p3K1MN0uZWs7ff,False,194,,2026-08-10T14:35:21.916273
6x4 picture frame,size - small,low,,Not ranked,,False,225,,2026-08-10T14:35:25.903972
